,dataset,num_kernels,accuracy_mean,accuracy_std
346,ProximalPhalanxTW,5000,0.802439024390244,0.005453824335365346
347,ProximalPhalanxTW,10000,0.8009756097560976,0.008392512455651334
348,RefrigerationDevices,100,0.5088,0.018156847499252483
349,RefrigerationDevices,500,0.5176000000000001,0.0117121020031988
350,RefrigerationDevices,1000,0.5311999999999999,0.01731486195279779
351,RefrigerationDevices,2500,0.5258666666666667,0.012439364042336634
352,RefrigerationDevices,5000,0.5285333333333334,0.008665640964945015
353,RefrigerationDevices,10000,0.5368,0.008686131986614583
354,ScreenType,100,0.4192,0.019332873557751318
355,ScreenType,500,0.4493333333333334,0.021573646474859612
356,ScreenType,1000,0.4453333333333334,0.009540556703999106
357,ScreenType,2500,0.4768,0.014100591004162442
358,ScreenType,5000,0.4930666666666667,0.006999682532483557
359,ScreenType,10000,0.48106666666666664,0.006219682021168326
360,ShapeletSim,100,0.8261111111111109,0.0744133434204669
361,ShapeletSim,500,0.9622222222222222,0.02764412289916608
362,ShapeletSim,1000,0.9916666666666668,0.005121969142940511
363,ShapeletSim,2500,0.9961111111111112,0.004339027597725904
364,ShapeletSim,5000,1.0,0.0
365,ShapeletSim,10000,1.0,0.0
366,ShapesAll,100,0.8443333333333334,0.010005554013202408
367,ShapesAll,500,0.8921666666666667,0.007033649282003051
368,ShapesAll,1000,0.8943333333333335,0.00381517438075318
369,ShapesAll,2500,0.9019999999999999,0.003144660377352195
370,ShapesAll,5000,0.9061666666666666,0.004017323597731338
371,ShapesAll,10000,0.9075,0.0022669117514559065
372,SmallKitchenAppliances,100,0.8154666666666666,0.011238030669709582
373,SmallKitchenAppliances,500,0.8072000000000001,0.011379513756454322
374,SmallKitchenAppliances,1000,0.8194666666666667,0.01180884790692509
375,SmallKitchenAppliances,2500,0.8133333333333332,0.008844332774281063
376,SmallKitchenAppliances,5000,0.8106666666666668,0.006953815898882809
377,SmallKitchenAppliances,10000,0.8165333333333333,0.004888080741286218
378,SonyAIBORobotSurface1,100,0.9041597337770382,0.019463998423813307
379,SonyAIBORobotSurface1,500,0.9221297836938435,0.007283217513557161
380,SonyAIBORobotSurface1,1000,0.9206322795341098,0.008583174959420245
381,SonyAIBORobotSurface1,2500,0.9224625623960065,0.003584136310904825
382,SonyAIBORobotSurface1,5000,0.9191347753743759,0.00453849640498697
383,SonyAIBORobotSurface1,10000,0.9204658901830282,0.0022074041865926103
384,SonyAIBORobotSurface2,100,0.9051416579223505,0.030011960721094404
385,SonyAIBORobotSurface2,500,0.9118572927597061,0.008288947600474935
386,SonyAIBORobotSurface2,1000,0.906610703043022,0.00847287691004675
387,SonyAIBORobotSurface2,2500,0.9133263378803779,0.00345479068901455
388,SonyAIBORobotSurface2,5000,0.9184679958027282,0.0024853555681693695
389,SonyAIBORobotSurface2,10000,0.9196222455403987,0.0030484447106682044
390,StarLightCurves,100,0.9763477416221467,0.0019018906507237774
391,StarLightCurves,500,0.9795774647887324,0.0013724012774108728
392,StarLightCurves,1000,0.9808402136959689,0.0005532193176247893
393,StarLightCurves,2500,0.9809859154929577,0.0005185564959704301
394,StarLightCurves,5000,0.9809252064108792,0.0006389180241341883
395,StarLightCurves,10000,0.9809980573093735,0.00046154875689045016
396,Strawberry,100,0.9554054054054054,0.003254485021295228
397,Strawberry,500,0.9702702702702701,0.004008755938970625
