,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
214,GunPointMaleVersusFemale,threshold=0.001,0.9936708860759493,,19982.0,0.9991,0.03570120001677424
215,GunPointMaleVersusFemale,threshold=0.01,0.9936708860759493,,11920.0,0.596,0.024495100020430982
216,GunPointOldVersusYoung,no_selection (baseline),1.0,,20000.0,1.0,0.037827800028026104
217,GunPointOldVersusYoung,threshold=0.0,1.0,,19999.0,0.99995,0.03646650002337992
218,GunPointOldVersusYoung,threshold=0.001,1.0,,19988.0,0.9994,0.03735110000707209
219,GunPointOldVersusYoung,threshold=0.01,1.0,,11798.0,0.5899,0.023968699970282614
220,Ham,no_selection (baseline),0.7428571428571429,,20000.0,1.0,0.03334670001640916
221,Ham,threshold=0.0,0.7428571428571429,,20000.0,1.0,0.03524140000808984
222,Ham,threshold=0.001,0.7428571428571429,,17591.0,0.87955,0.027203500038012862
223,Ham,threshold=0.01,0.6952380952380952,,10225.0,0.51125,0.017161099996883422
224,HandOutlines,no_selection (baseline),0.9459459459459459,,20000.0,1.0,0.39736549998633564
225,HandOutlines,threshold=0.0,0.9459459459459459,,18730.0,0.9365,0.4317373000085354
226,HandOutlines,threshold=0.001,0.9513513513513514,,11265.0,0.56325,0.35902070003794506
227,HandOutlines,threshold=0.01,0.9513513513513514,,7529.0,0.37645,0.30111540004145354
228,Haptics,no_selection (baseline),0.538961038961039,,20000.0,1.0,0.04436090000672266
229,Haptics,threshold=0.0,0.538961038961039,,20000.0,1.0,0.042924400011543185
230,Haptics,threshold=0.001,0.538961038961039,,15976.0,0.7988,0.03576249995967373
231,Haptics,threshold=0.01,0.5292207792207793,,10383.0,0.51915,0.025294699997175485
232,Herring,no_selection (baseline),0.625,,20000.0,1.0,0.01618790003703907
233,Herring,threshold=0.0,0.625,,18855.0,0.94275,0.01774239999940619
234,Herring,threshold=0.001,0.609375,,10732.0,0.5366,0.010911299963481724
235,Herring,threshold=0.01,0.578125,,7657.0,0.38285,0.008622800000011921
236,HouseTwenty,no_selection (baseline),0.9663865546218487,,20000.0,1.0,0.01079339999705553
237,HouseTwenty,threshold=0.0,0.9663865546218487,,20000.0,1.0,0.013222299981862307
238,HouseTwenty,threshold=0.001,0.9411764705882353,,14627.0,0.73135,0.009948100021574646
239,HouseTwenty,threshold=0.01,0.8739495798319328,,10640.0,0.532,0.008232399995904416
240,InlineSkate,no_selection (baseline),0.48545454545454547,,20000.0,1.0,0.031046100019011647
241,InlineSkate,threshold=0.0,0.48545454545454547,,19340.0,0.967,0.032120399991981685
242,InlineSkate,threshold=0.001,0.4709090909090909,,15319.0,0.76595,0.02059900003951043
243,InlineSkate,threshold=0.01,0.4290909090909091,,9561.0,0.47805,0.014192899980116636
244,InsectEPGRegularTrain,no_selection (baseline),1.0,,20000.0,1.0,0.016127799986861646
245,InsectEPGRegularTrain,threshold=0.0,1.0,,16376.0,0.8188,0.015664200007449836
246,InsectEPGRegularTrain,threshold=0.001,1.0,,11497.0,0.57485,0.009753799997270107
247,InsectEPGRegularTrain,threshold=0.01,1.0,,6419.0,0.32095,0.006733600050210953
248,InsectEPGSmallTrain,no_selection (baseline),1.0,,20000.0,1.0,0.005929199978709221
249,InsectEPGSmallTrain,threshold=0.0,1.0,,16152.0,0.8076,0.007191399985458702
250,InsectEPGSmallTrain,threshold=0.001,1.0,,11439.0,0.57195,0.005485900037456304
251,InsectEPGSmallTrain,threshold=0.01,1.0,,6407.0,0.32035,0.003276799980085343
252,InsectWingbeatSound,no_selection (baseline),0.6707070707070707,,20000.0,1.0,0.06508640001993626
253,InsectWingbeatSound,threshold=0.0,0.6707070707070707,,19999.0,0.99995,0.07313689996954054
254,InsectWingbeatSound,threshold=0.001,0.6747474747474748,,18758.0,0.9379,0.06887840002309531
255,InsectWingbeatSound,threshold=0.01,0.651010101010101,,11627.0,0.58135,0.04477819998282939
256,ItalyPowerDemand,no_selection (baseline),0.9698736637512148,,20000.0,1.0,0.017218500026501715
257,ItalyPowerDemand,threshold=0.0,0.9698736637512148,,19992.0,0.9996,0.016276000009384006
258,ItalyPowerDemand,threshold=0.001,0.9698736637512148,,19964.0,0.9982,0.016402600042056292
259,ItalyPowerDemand,threshold=0.01,0.9698736637512148,,12649.0,0.63245,0.011732700048014522
260,LargeKitchenAppliances,no_selection (baseline),0.896,,20000.0,1.0,0.14947469998151064
261,LargeKitchenAppliances,threshold=0.0,0.896,,20000.0,1.0,0.16596369998296723
262,LargeKitchenAppliances,threshold=0.001,0.896,,18857.0,0.94285,0.16305959998862818
263,LargeKitchenAppliances,threshold=0.01,0.864,,11109.0,0.55545,0.10071919998154044
