,dataset,variant,accuracy_mean,accuracy_std
146,TwoLeadECG,with_bias (default),0.9991220368744512,0.0
147,TwoLeadECG,no_bias,0.9991220368744512,0.0
148,TwoPatterns,with_bias (default),1.0,0.0
149,TwoPatterns,no_bias,1.0,0.0
150,UWaveGestureLibraryAll,with_bias (default),0.9754327191513121,0.0006116388135177897
151,UWaveGestureLibraryAll,no_bias,0.97071468453378,0.0010844737353185676
152,UWaveGestureLibraryX,with_bias (default),0.8554159687325515,0.0028537227868343043
153,UWaveGestureLibraryX,no_bias,0.8244556113902848,0.002653765413359285
154,UWaveGestureLibraryY,with_bias (default),0.7788944723618091,0.0022088264036686294
155,UWaveGestureLibraryY,no_bias,0.7527079843662758,0.0026063517625871204
156,UWaveGestureLibraryZ,with_bias (default),0.7928252372975991,0.0024796215182341327
157,UWaveGestureLibraryZ,no_bias,0.7690117252931323,0.00202550051895223
158,Wafer,with_bias (default),0.9984101232965606,0.0002152254893157345
159,Wafer,no_bias,0.9983127839065542,0.00023171409566980638
160,Wine,with_bias (default),0.8222222222222223,0.025119740678241742
161,Wine,no_bias,0.8962962962962964,0.00907218423253033
162,WordSynonyms,with_bias (default),0.7514106583072099,0.003518800050257626
163,WordSynonyms,no_bias,0.7545454545454546,0.0014365441050018066
164,Worms,with_bias (default),0.7272727272727273,0.005807968772726728
165,Worms,no_bias,0.6753246753246753,0.011615937545453456
166,WormsTwoClass,with_bias (default),0.7974025974025973,0.01446172561774032
167,WormsTwoClass,no_bias,0.7831168831168831,0.013051786520936226
168,Yoga,with_bias (default),0.9098666666666666,0.003742251253516311
169,Yoga,no_bias,0.9177333333333333,0.002555169052898243
