,dataset,feature_type,accuracy_mean,accuracy_std
136,MiddlePhalanxOutlineCorrect,ppv_only,0.8384879725085911,0.012765756440554433
137,MiddlePhalanxOutlineCorrect,max_only,0.8336769759450172,0.0069071310110796445
138,MiddlePhalanxTW,both (default),0.5558441558441558,0.01337094823504806
139,MiddlePhalanxTW,ppv_only,0.540909090909091,0.011991029423778807
140,MiddlePhalanxTW,max_only,0.5597402597402598,0.00811038701090701
141,MoteStrain,both (default),0.9158945686900959,0.0019252349509894771
142,MoteStrain,ppv_only,0.9169329073482428,0.002314916413129318
143,MoteStrain,max_only,0.842332268370607,0.0034112071092751673
144,NonInvasiveFetalECGThorax1,both (default),0.9564885496183206,0.001660780546776659
145,NonInvasiveFetalECGThorax1,ppv_only,0.9477862595419847,0.0014066437619425208
146,NonInvasiveFetalECGThorax1,max_only,0.9468702290076335,0.00267550929833995
147,NonInvasiveFetalECGThorax2,both (default),0.9690585241730281,0.002007438465477459
148,NonInvasiveFetalECGThorax2,ppv_only,0.964325699745547,0.0016482579888754908
149,NonInvasiveFetalECGThorax2,max_only,0.9556743002544529,0.0018128766545096114
150,OSULeaf,both (default),0.9392561983471074,0.0037190082644627974
151,OSULeaf,ppv_only,0.9462809917355373,0.008468554352032741
152,OSULeaf,max_only,0.9020661157024794,0.006143003614594403
153,OliveOil,both (default),0.9200000000000002,0.016329931618554516
154,OliveOil,ppv_only,0.9366666666666668,0.009999999999999998
155,OliveOil,max_only,0.8633333333333335,0.009999999999999998
156,PhalangesOutlinesCorrect,both (default),0.8378787878787879,0.005672770873490902
157,PhalangesOutlinesCorrect,ppv_only,0.8293706293706293,0.008342904507306879
158,PhalangesOutlinesCorrect,max_only,0.8229603729603729,0.004018867051181056
159,Phoneme,both (default),0.28080168776371306,0.0021771906582859018
160,Phoneme,ppv_only,0.2866561181434599,0.003428270042194098
161,Phoneme,max_only,0.23533755274261603,0.0009074182771141992
162,Plane,both (default),1.0,0.0
163,Plane,ppv_only,1.0,0.0
164,Plane,max_only,1.0,0.0
165,ProximalPhalanxOutlineAgeGroup,both (default),0.8585365853658538,0.003778520337763337
