dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
EOGHorizontalSignal,0.5853591160220994,0.011684135901964975,1.5029525299993112,1.397734840004705
EOGVerticalSignal,0.5472375690607735,0.011011674822096548,1.5067672699980903,1.3924219799999265
Earthquakes,0.7568345323741006,0.008985608630789071,0.6269840100023429,0.22281467999710003
ElectricDevices,0.7294254960446116,0.0023808389557490183,28.731357399998522,2.626264080002147
EthanolLevel,0.59,0.009121403400793112,2.8404321199996048,2.6870848499995192
FaceAll,0.9455029585798815,0.0031136857081474167,0.4302528300017002,0.7670546399996965
FaceFour,0.975,0.004545454545454541,0.03516852999600815,0.10869589999492746
FacesUCR,0.9614634146341462,0.0007865617315413226,0.14635983000043779,0.9124782299986691
FiftyWords,0.8285714285714285,0.004610148783165533,0.5609131900011561,0.39956417999928817
Fish,0.9817142857142857,0.002285714285714313,0.33224523000099,0.2933503300038865
FordA,0.9365151515151517,0.004542928591080282,8.230361650002305,2.05701160000026
FordB,0.798395061728395,0.006717910054524855,8.18172115000052,1.2780135799985146
FreezerRegularTrain,0.9975789473684211,0.0003310168818265664,0.1943526299961377,2.847407710000698
FreezerSmallTrain,0.9503859649122808,0.0019358756805801837,0.047036409999418535,2.773433040000964
Fungi,1.0,0.0,0.031169020003289916,0.12736298000236274
GestureMidAirD1,0.7769230769230769,0.0,0.30586876000161284,0.1632847999993828
GestureMidAirD2,0.6615384615384616,0.00688020916153779,0.32715060000045926,0.17702718000364256
GestureMidAirD3,0.4838461538461539,0.006389710663783134,0.31398028999828964,0.1643585699988762
GesturePebbleZ1,0.8970930232558141,0.005842950942512118,0.23044752999994672,0.2621775299994624
GesturePebbleZ2,0.7981012658227847,0.011479972877985486,0.2630061299991212,0.24958614999923157
GunPoint,1.0,0.0,0.04388859000173397,0.0842508200017619
GunPointAgeSpan,0.9901898734177215,0.0026286784376322787,0.1103986799964332,0.17830775000184074
