,dataset,variant,accuracy_mean,accuracy_std
136,MiddlePhalanxOutlineCorrect,no_padding,0.8298969072164948,0.008311605926080993
137,MiddlePhalanxOutlineCorrect,always_padding,0.8295532646048109,0.004123711340206206
138,MiddlePhalanxTW,random_padding (default),0.5506493506493506,0.018775106876364887
139,MiddlePhalanxTW,no_padding,0.5512987012987013,0.014935064935064931
140,MiddlePhalanxTW,always_padding,0.5467532467532468,0.008614609845078959
141,MoteStrain,random_padding (default),0.9161341853035143,0.002201924720781186
142,MoteStrain,no_padding,0.9161341853035143,0.002673035228543377
143,MoteStrain,always_padding,0.9188498402555909,0.0021491412215772646
144,NonInvasiveFetalECGThorax1,random_padding (default),0.9563867684478373,0.001626111481798514
145,NonInvasiveFetalECGThorax1,no_padding,0.9545547073791347,0.0024727797686018038
146,NonInvasiveFetalECGThorax1,always_padding,0.9559287531806616,0.002208909355135936
147,NonInvasiveFetalECGThorax2,random_padding (default),0.9683460559796438,0.0012423975181408188
148,NonInvasiveFetalECGThorax2,no_padding,0.9663104325699745,0.0014889301616618693
149,NonInvasiveFetalECGThorax2,always_padding,0.9689058524173028,0.001335817277191522
150,OSULeaf,random_padding (default),0.9400826446280993,0.004234277176016348
151,OSULeaf,no_padding,0.9409090909090908,0.0037190082644627974
152,OSULeaf,always_padding,0.941322314049587,0.004818968508136596
153,OliveOil,random_padding (default),0.9200000000000002,0.016329931618554516
154,OliveOil,no_padding,0.9166666666666667,0.016666666666666663
155,OliveOil,always_padding,0.9266666666666667,0.01333333333333333
156,PhalangesOutlinesCorrect,random_padding (default),0.8374125874125873,0.0053473518633820275
157,PhalangesOutlinesCorrect,no_padding,0.8342657342657341,0.006118603612310811
158,PhalangesOutlinesCorrect,always_padding,0.8344988344988347,0.008721812090382149
159,Phoneme,random_padding (default),0.2794303797468355,0.004049863675200941
160,Phoneme,no_padding,0.2757383966244726,0.0035443665857408236
161,Phoneme,always_padding,0.27600210970464134,0.0030485962060376303
162,Plane,random_padding (default),1.0,0.0
163,Plane,no_padding,1.0,0.0
164,Plane,always_padding,1.0,0.0
165,ProximalPhalanxOutlineAgeGroup,random_padding (default),0.8565853658536586,0.004470805556054482
