,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
155,FacesUCR,0,threshold=0.01,0.9502439024390243,10252,20000,0.5126,0.03318900003796443
156,FiftyWords,0,no_selection (baseline),0.8263736263736263,20000,20000,1.0,0.21028100000694394
157,FiftyWords,0,threshold=0.0,0.8263736263736263,20000,20000,1.0,0.17862839996814728
158,FiftyWords,0,threshold=0.001,0.8307692307692308,19696,20000,0.9848,0.1841782999690622
159,FiftyWords,0,threshold=0.01,0.789010989010989,11487,20000,0.57435,0.11774780001724139
160,Fish,0,no_selection (baseline),0.9828571428571429,20000,20000,1.0,0.05311139998957515
161,Fish,0,threshold=0.0,0.9828571428571429,18832,20000,0.9416,0.04826349997892976
162,Fish,0,threshold=0.001,0.9885714285714285,11773,20000,0.58865,0.04637019999790937
163,Fish,0,threshold=0.01,0.9657142857142857,7922,20000,0.3961,0.02226719999453053
164,FordA,0,no_selection (baseline),0.9363636363636364,20000,20000,1.0,2.7217792999581434
165,FordA,0,threshold=0.0,0.9363636363636364,19999,20000,0.99995,2.9362438999814913
166,FordA,0,threshold=0.001,0.9424242424242424,12745,20000,0.63725,2.3781941999914125
167,FordA,0,threshold=0.01,0.9204545454545454,10099,20000,0.50495,2.255921500036493
168,FordB,0,no_selection (baseline),0.8037037037037037,20000,20000,1.0,2.6657415000372566
169,FordB,0,threshold=0.0,0.8037037037037037,19998,20000,0.9999,2.85305639996659
170,FordB,0,threshold=0.001,0.8148148148148148,12112,20000,0.6056,2.453302200010512
171,FordB,0,threshold=0.01,0.7901234567901234,10061,20000,0.50305,2.286717100010719
172,FreezerRegularTrain,0,no_selection (baseline),0.9978947368421053,20000,20000,1.0,0.037217300035990775
173,FreezerRegularTrain,0,threshold=0.0,0.9978947368421053,19967,20000,0.99835,0.042014600010588765
174,FreezerRegularTrain,0,threshold=0.001,0.9964912280701754,14716,20000,0.7358,0.03316569997696206
175,FreezerRegularTrain,0,threshold=0.01,0.9968421052631579,11105,20000,0.55525,0.02515900001162663
176,FreezerSmallTrain,0,no_selection (baseline),0.9575438596491228,20000,20000,1.0,0.007718999986536801
177,FreezerSmallTrain,0,threshold=0.0,0.9575438596491228,19411,20000,0.97055,0.008563300012610853
178,FreezerSmallTrain,0,threshold=0.001,0.9368421052631579,14449,20000,0.72245,0.0067971000098623335
179,FreezerSmallTrain,0,threshold=0.01,0.887719298245614,11036,20000,0.5518,0.005680200003553182
180,Fungi,0,no_selection (baseline),1.0,20000,20000,1.0,0.0069071000325493515
181,Fungi,0,threshold=0.0,1.0,19997,20000,0.99985,0.024698000052012503
182,Fungi,0,threshold=0.001,1.0,19558,20000,0.9779,0.009550000017043203
183,Fungi,0,threshold=0.01,1.0,11670,20000,0.5835,0.006211699976120144
184,GestureMidAirD1,0,no_selection (baseline),0.7769230769230769,20000,20000,1.0,0.06682410003850237
185,GestureMidAirD1,0,threshold=0.0,0.7769230769230769,20000,20000,1.0,0.06634129997109994
186,GestureMidAirD1,0,threshold=0.001,0.7769230769230769,19998,20000,0.9999,0.08501099998829886
187,GestureMidAirD1,0,threshold=0.01,0.7769230769230769,18831,20000,0.94155,0.06250359996920452
188,GestureMidAirD2,0,no_selection (baseline),0.6615384615384615,20000,20000,1.0,0.06701699999393895
